keyword,score
sense,0.37247248042339043
liyue,0.37185505615317804
non,0.37074630200011394
address,0.3697614215787728
wanna,0.3685390680545604
near,0.36628082874731926
asap,0.3628147280722284
fascinating,0.36075933669845583
online,0.35962475175245556
tend,0.3593360184219715
exhausting,0.3587288415280612
studio,0.3558191107983179
ai,0.3558191107983179
en,0.35307265724640735
joystick,0.349976302643608
icon,0.349976302643608
dock,0.34967461639622455
goodi,0.34789377732994037
press,0.34712654916314767
pkayer,0.3458480906096507
previous,0.3418729034268671
perfeeect,0.34128182541044927
outfit,0.33820720170926316
literaly,0.33737886450788457
motivated,0.33737886450788457
funn,0.3359590055063293
bcz,0.33477761521083904
extensive,0.3338972996694218
list,0.33154017815888
freetoplay,0.33090234745894087
normalize,0.32806568186724155
hey,0.32620702176763927
freely,0.3219484329953825
lifechange,0.3136447351480618
flexible,0.3136447351480618
log,0.30710809421847596
asia,0.3058232458926645
alt,0.30085461584855
wuwa,0.29960198020481277
outside,0.29960198020481277
nerve,0.2968160224589221
loud,0.2956674002282074
mic,0.2950027047596219
perfection,0.2932758450840079
yep,0.2932758450840079
insufficient,0.29282142173076614
piece,0.2860474530021408
minigame,0.2860474530021408
nowadays,0.2860474530021408
linesi,0.2843242071986742
handle,0.28138422755520653
overy,0.28138422755520653
execute,0.28138422755520653
exspect,0.27887202258079785
mondstadt,0.27887202258079785
vs,0.2785422002366268
againt,0.2785422002366268
kinich,0.2755441772055552
loose,0.2754312871410182
head,0.2754312871410182
perspective,0.2754312871410182
guess,0.2754312871410182
harmful,0.2744337138488672
install,0.2744337138488672
join,0.27247773931516306
acc,0.2708972274575144
switch,0.2708972274575144
intensive,0.27084809650581826
oneplus,0.27084809650581826
overhated,0.2697054573389612
goate,0.2697054573389612
fontain,0.2697054573389612
inazuma,0.2677237546948963
pause,0.26693188714613564
idea,0.26693188714613564
follow,0.2637487540288576
half,0.26113997633790936
mood,0.26113997633790936
googling,0.26113997633790936
plentiful,0.26113997633790936
figure,0.26113997633790936
guide,0.26113997633790936
excited,0.26103890265455204
form,0.26103890265455204
generally,0.26103890265455204
normal,0.26060723950937154
manage,0.2598365506665337
incredibly,0.2598365506665337
hat,0.25949658815239135
playstyle,0.25949658815239135
middle,0.2594809514356392
extreme,0.25836394325709366
gangstar,0.25836394325709366
oppo,0.25822685624939096
exception,0.2581157397947617
fairly,0.2581157397947617
impressive,0.25661813838365277
opt,0.25632142497939864
muahahahaeauheurys,0.2533738339358839
plan,0.2533738339358839
lovely,0.2533738339358839
hoyoberse,0.2533738339358839
mainly,0.25262851380854634
hand,0.25262851380854634
pay,0.25259323742195633
itthen,0.25259323742195633
individual,0.25259323742195633
accomplish,0.2519078818884377
exploring,0.2519078818884377
leveling,0.2508655546034084
pattern,0.2503784409645444
light,0.2491956237709184
melanin,0.2491956237709184
fit,0.24849690409950606
patience,0.24849690409950606
evolve,0.2480470852343344
overtime,0.24800797618058157
ice,0.2475167467092775
woukd,0.2475167467092775
length,0.2475167467092775
malfunction,0.24708403892062195
example,0.24708403892062195
hold,0.24708403892062195
ignore,0.24639454092221694
joy,0.24639454092221694
phenomenal,0.24639454092221694
hatefulspam,0.24639454092221694
glitchy,0.24593373399061444
hehe,0.24593373399061444
hardcore,0.24567820188383016
memorize,0.24567820188383016
gam,0.24567820188383016
interference,0.2455066571155363
heart,0.2413508825343566
pass,0.24114414281779226
meta,0.24114409692687735
irl,0.24114409692687735
lately,0.2406638236789572
hello,0.2406638236789572
yay,0.24017731956006796
ftp,0.24017731956006796
pain,0.24002227253729014
lacking,0.24002227253729014
passion,0.2396418480216079
lucky,0.23858050660520283
intertwine,0.23858050660520283
fate,0.23858050660520283
gold,0.23858050660520283
forget,0.23858050660520283
overlaps,0.23838218993261676
inch,0.23838218993261676
hear,0.23838218993261676
pointless,0.23812466476648064
filler,0.23812466476648064
exclusively,0.23812466476648064
exclusive,0.23812466476648064
nonrepeatable,0.23812466476648064
meander,0.23812466476648064
imagine,0.2379106962073575
explode,0.23641155379666853
january,0.23641155379666853
primogemsin,0.23627794774425687
landscape,0.23627794774425687
writing,0.2350972067779145
memorable,0.2350972067779145
higher,0.23485840539818872
logo,0.2345088849832996
notification,0.2345088849832996
morning,0.2345088849832996
pride,0.23437432268796807
grip,0.23430573038512523
location,0.23430573038512523
worldbuilde,0.23430573038512523
gem,0.23420504558607416
accurately,0.23392924845810795
fantasy,0.23392924845810795
noticable,0.23392924845810795
fail,0.23392924845810795
plotline,0.23392924845810795
moreit,0.2334579344269183
monotonous,0.2334114866603068
plain,0.2334114866603068
frustrated,0.2334114866603068
insult,0.2334114866603068
measly,0.2334114866603068
lategame,0.2334114866603068
par,0.2331502131140241
greatfor,0.2331502131140241
okay,0.2331502131140241
yeah,0.2331502131140241
lorestory,0.2331502131140241
achieve,0.23298173181900497
fetch,0.23280714213520226
glaring,0.23280714213520226
paper,0.23272809643093406
grab,0.23272809643093406
lost,0.23229781178527378
minecraft,0.23229781178527378
freedom,0.23229781178527378
learn,0.23229781178527378
legend,0.23002184721160926
face,0.22934257868437646
expansive,0.22917179001453983
